"mate"	"(Moby_Dick.txt, 52)"
"why"	"(Adventures_of_Huckleberry_Finn.txt, 173), (Moby_Dick.txt, 31), (Hamlet.txt, 8)"
"will"	"(Moby_Dick.txt, 37), (Adventures_of_Huckleberry_Finn.txt, 18), (Hamlet.txt, 10)"
"wind"	"(Moby_Dick.txt, 34), (Adventures_of_Huckleberry_Finn.txt, 3)"
"with"	"(Adventures_of_Huckleberry_Finn.txt, 30), (Moby_Dick.txt, 14), (Hamlet.txt, 3)"
"won"	"(Adventures_of_Huckleberry_Finn.txt, 68), (Moby_Dick.txt, 32)"
"woods"	"(Adventures_of_Huckleberry_Finn.txt, 22), (Moby_Dick.txt, 5)"
"word"	"(Moby_Dick.txt, 34), (Adventures_of_Huckleberry_Finn.txt, 18), (Hamlet.txt, 6)"
"work"	"(Moby_Dick.txt, 36), (Adventures_of_Huckleberry_Finn.txt, 33), (Hamlet.txt, 4)"
"works"	"(Moby_Dick.txt, 28), (Adventures_of_Huckleberry_Finn.txt, 10), (Hamlet.txt, 1)"
"world"	"(Moby_Dick.txt, 98), (Adventures_of_Huckleberry_Finn.txt, 24), (Hamlet.txt, 10)"
"would"	"(Adventures_of_Huckleberry_Finn.txt, 34), (Moby_Dick.txt, 15), (Hamlet.txt, 6)"
"wouldn"	"(Adventures_of_Huckleberry_Finn.txt, 190), (Moby_Dick.txt, 8)"
"ye"	"(Moby_Dick.txt, 167), (Adventures_of_Huckleberry_Finn.txt, 7), (Hamlet.txt, 4)"
"year"	"(Adventures_of_Huckleberry_Finn.txt, 22), (Moby_Dick.txt, 12), (Hamlet.txt, 2)"
"years"	"(Moby_Dick.txt, 36), (Adventures_of_Huckleberry_Finn.txt, 7), (Hamlet.txt, 1)"
"yes"	"(Adventures_of_Huckleberry_Finn.txt, 94), (Moby_Dick.txt, 74), (Hamlet.txt, 3)"
"yet"	"(Moby_Dick.txt, 70), (Adventures_of_Huckleberry_Finn.txt, 43), (Hamlet.txt, 1)"
"you"	"(Adventures_of_Huckleberry_Finn.txt, 394), (Moby_Dick.txt, 101), (Hamlet.txt, 81)"
"a"	"(Adventures_of_Huckleberry_Finn.txt, 237), (Moby_Dick.txt, 43), (Hamlet.txt, 15)"
"about"	"(Moby_Dick.txt, 30), (Adventures_of_Huckleberry_Finn.txt, 23), (Hamlet.txt, 2)"
"aft"	"(Moby_Dick.txt, 22)"
"again"	"(Moby_Dick.txt, 152), (Adventures_of_Huckleberry_Finn.txt, 137)"
"ago"	"(Moby_Dick.txt, 24), (Adventures_of_Huckleberry_Finn.txt, 15), (Hamlet.txt, 1)"
"ah"	"(Moby_Dick.txt, 22), (Adventures_of_Huckleberry_Finn.txt, 2)"
"ahab"	"(Moby_Dick.txt, 267)"
"ain"	"(Adventures_of_Huckleberry_Finn.txt, 315), (Moby_Dick.txt, 22)"
"air"	"(Moby_Dick.txt, 99), (Adventures_of_Huckleberry_Finn.txt, 6)"
"all"	"(Moby_Dick.txt, 148), (Adventures_of_Huckleberry_Finn.txt, 78), (Hamlet.txt, 22)"
"aloft"	"(Moby_Dick.txt, 27)"
"along"	"(Adventures_of_Huckleberry_Finn.txt, 88), (Moby_Dick.txt, 22), (Hamlet.txt, 1)"
"also"	"(Moby_Dick.txt, 24), (Adventures_of_Huckleberry_Finn.txt, 2)"
"and"	"(Moby_Dick.txt, 100), (Adventures_of_Huckleberry_Finn.txt, 38), (Hamlet.txt, 1)"
"another"	"(Adventures_of_Huckleberry_Finn.txt, 23), (Moby_Dick.txt, 18), (Hamlet.txt, 3)"
"anyway"	"(Adventures_of_Huckleberry_Finn.txt, 43)"
"arm"	"(Moby_Dick.txt, 39), (Adventures_of_Huckleberry_Finn.txt, 5), (Hamlet.txt, 4)"
"around"	"(Adventures_of_Huckleberry_Finn.txt, 68), (Moby_Dick.txt, 1)"
"ashore"	"(Moby_Dick.txt, 22), (Adventures_of_Huckleberry_Finn.txt, 10)"
"asleep"	"(Adventures_of_Huckleberry_Finn.txt, 22), (Moby_Dick.txt, 4)"
"astern"	"(Moby_Dick.txt, 23)"
"away"	"(Moby_Dick.txt, 64), (Adventures_of_Huckleberry_Finn.txt, 50), (Hamlet.txt, 16)"
"aye"	"(Moby_Dick.txt, 151), (Hamlet.txt, 1)"
"b"	"(Adventures_of_Huckleberry_Finn.txt, 22), (Moby_Dick.txt, 3)"
"back"	"(Moby_Dick.txt, 70), (Adventures_of_Huckleberry_Finn.txt, 47), (Hamlet.txt, 1)"
"be"	"(Moby_Dick.txt, 54), (Adventures_of_Huckleberry_Finn.txt, 23), (Hamlet.txt, 18)"
"bed"	"(Adventures_of_Huckleberry_Finn.txt, 50), (Moby_Dick.txt, 46), (Hamlet.txt, 7)"
"before"	"(Adventures_of_Huckleberry_Finn.txt, 46), (Moby_Dick.txt, 42), (Hamlet.txt, 4)"
"below"	"(Moby_Dick.txt, 31), (Adventures_of_Huckleberry_Finn.txt, 8), (Hamlet.txt, 5)"
"besides"	"(Moby_Dick.txt, 29), (Adventures_of_Huckleberry_Finn.txt, 13), (Hamlet.txt, 1)"
"better"	"(Adventures_of_Huckleberry_Finn.txt, 23), (Moby_Dick.txt, 8), (Hamlet.txt, 4)"
"bildad"	"(Moby_Dick.txt, 53)"
"blood"	"(Moby_Dick.txt, 31), (Hamlet.txt, 6), (Adventures_of_Huckleberry_Finn.txt, 6)"
"board"	"(Moby_Dick.txt, 31), (Adventures_of_Huckleberry_Finn.txt, 3)"
"boat"	"(Moby_Dick.txt, 193), (Adventures_of_Huckleberry_Finn.txt, 16)"
"boats"	"(Moby_Dick.txt, 60)"
"body"	"(Moby_Dick.txt, 41), (Hamlet.txt, 8), (Adventures_of_Huckleberry_Finn.txt, 7)"
"bottom"	"(Moby_Dick.txt, 21), (Adventures_of_Huckleberry_Finn.txt, 3)"
"bow"	"(Moby_Dick.txt, 33), (Adventures_of_Huckleberry_Finn.txt, 3)"
"bows"	"(Moby_Dick.txt, 26)"
"boy"	"(Moby_Dick.txt, 50), (Adventures_of_Huckleberry_Finn.txt, 26), (Hamlet.txt, 2)"
